iter	RMSE
0	68879.91877
1	67644.40745
2	66625.89136
3	65637.28828
4	64848.40961
5	64077.67653
6	63484.84205
7	62931.80192
8	62465.93043
9	61995.37653
10	61636.78689
11	61258.65598
12	60965.71566
13	60683.64986
14	60446.70672
15	60219.39921
16	60028.86933
17	59877.46961
18	59700.12084
19	59558.84587
20	59426.97057
21	59286.17028
22	59166.34528
23	59075.19069
24	59000.6246
25	58927.12258
26	58845.03732
27	58774.69635
28	58714.51755
29	58650.0758
30	58589.89982
31	58535.60171
32	58466.63417
33	58420.75019
34	58376.53615
35	58332.28051
36	58303.03915
37	58278.78809
38	58243.14152
39	58195.74883
40	58154.28789
41	58125.97275
42	58107.76418
43	58079.55148
44	58057.36587
45	58040.99455
46	58024.93867
47	58005.68284
48	57991.80862
49	57961.22851
50	57942.52344
51	57927.13586
52	57913.23439
53	57898.47338
54	57879.39599
55	57861.41583
56	57852.57703
57	57839.93762
58	57828.9964
59	57815.3889
60	57800.93127
61	57787.03568
62	57779.81579
63	57770.34505
64	57756.56954
65	57748.02501
66	57734.02892
67	57720.28121
68	57718.6501
69	57709.785
70	57703.13654
71	57692.56959
72	57678.57901
73	57670.47924
74	57662.97899
75	57655.79354
76	57649.52966
77	57644.12248
78	57633.44197
79	57626.0585
80	57614.66522
81	57607.72161
82	57601.09926
83	57595.4957
84	57582.92998
85	57567.21381
86	57559.82743
87	57554.9787
88	57545.09877
89	57537.76717
90	57532.09769
91	57523.9046
92	57518.96281
93	57515.98299
94	57512.65333
95	57505.6259
96	57497.82066
97	57492.71252
98	57488.45959
99	57485.02572
100	57477.18449
101	57472.75796
102	57468.07516
103	57459.81725
104	57453.79533
105	57451.16031
106	57442.29475
107	57436.91605
108	57432.9882
109	57428.30325
110	57422.78022
111	57417.65615
112	57411.39401
113	57406.97965
114	57397.79556
115	57394.58189
116	57389.47351
117	57386.45007
118	57383.01093
119	57378.12045
120	57375.27709
121	57370.9831
122	57369.27974
123	57366.38243
124	57358.50726
125	57354.22297
126	57348.06221
127	57343.65544
128	57343.42628
129	57339.96531
130	57335.80895
131	57333.07593
132	57329.60084
133	57326.17987
134	57316.74523
135	57312.59827
136	57306.99174
137	57304.46858
138	57303.43516
139	57298.88129
140	57295.51726
141	57291.60577
142	57287.84815
143	57281.16923
144	57276.96905
145	57272.21482
146	57268.42472
147	57264.42442
148	57261.76516
149	57255.80966
150	57253.05282
151	57246.57818
152	57242.12177
153	57237.42707
154	57231.57694
155	57225.42794
156	57221.61083
157	57218.50817
158	57214.81371
159	57212.21189
160	57208.20892
161	57204.70019
162	57202.32385
163	57198.90342
164	57195.78545
165	57193.57949
166	57188.47685
167	57182.98021
168	57179.21596
169	57176.64303
170	57173.44628
171	57170.98139
172	57168.94984
173	57165.51385
174	57162.16775
175	57157.75866
176	57155.35267
177	57152.02053
178	57148.19762
179	57144.42519
180	57141.81579
181	57138.55438
182	57134.31967
183	57131.36301
184	57126.96034
185	57123.08931
186	57120.07298
187	57117.76802
188	57115.11402
189	57111.98792
190	57110.07064
191	57107.66112
192	57105.60878
193	57102.71498
194	57101.40914
195	57099.5579
196	57096.60611
197	57093.96248
198	57093.42866
199	57090.4664
200	57086.50379
201	57083.46531
202	57081.1272
203	57078.16018
204	57075.33786
205	57072.0701
206	57069.63928
207	57066.65621
208	57061.63554
209	57059.02325
210	57057.69416
211	57055.38528
212	57053.34615
213	57050.47276
214	57045.83228
215	57043.68974
216	57041.17783
217	57038.33105
218	57033.14488
219	57030.0871
220	57026.70336
221	57023.53671
222	57020.44876
223	57018.32025
224	57015.59729
225	57013.02594
226	57009.84791
227	57008.58606
228	57006.65678
229	57004.24263
230	57001.58189
231	56999.69826
232	56996.35238
233	56993.0781
234	56989.14832
235	56987.95352
236	56985.96986
237	56984.65156
238	56982.55152
239	56981.26563
240	56979.90755
241	56977.98539
242	56974.4268
243	56972.78434
244	56970.2207
245	56966.8337
246	56965.08892
247	56963.11629
248	56960.93177
249	56958.5303
250	56954.47563
251	56952.25338
252	56949.65321
253	56947.38199
