iter	Passed	Remaining
0	152	152581
1	156	78189
2	160	53271
3	163	40801
4	167	33297
5	170	28279
6	174	24758
7	178	22166
8	182	20098
9	185	18412
10	189	17036
11	193	15906
12	196	14923
13	200	14127
14	203	13388
15	207	12783
16	211	12216
17	214	11708
18	218	11279
19	221	10869
20	225	10517
21	229	10186
22	232	9887
23	236	9604
24	239	9351
25	243	9122
26	247	8908
27	251	8718
28	255	8544
29	259	8382
30	263	8223
31	266	8071
32	270	7938
33	274	7797
34	278	7672
35	282	7566
36	286	7446
37	289	7341
38	293	7240
39	297	7143
40	301	7058
41	305	6967
42	309	6886
43	312	6797
44	316	6725
45	320	6647
46	324	6574
47	328	6505
48	331	6434
49	335	6376
50	339	6309
51	342	6245
52	346	6193
53	350	6144
54	354	6088
55	357	6032
56	361	5984
57	365	5933
58	368	5881
59	372	5838
60	376	5793
61	379	5747
62	383	5704
63	387	5668
64	391	5625
65	395	5591
66	398	5550
67	401	5509
68	404	5461
69	408	5425
70	412	5392
71	415	5356
72	419	5323
73	423	5294
74	426	5260
75	430	5232
76	434	5204
77	437	5171
78	441	5145
79	445	5118
80	448	5092
81	452	5067
82	456	5043
83	459	5013
84	463	4988
85	467	4968
86	471	4946
87	475	4922
88	478	4898
89	482	4877
90	486	4856
91	490	4838
92	494	4818
93	497	4794
94	501	4774
95	504	4753
96	508	4733
97	512	4712
98	515	4691
99	519	4674
100	522	4653
101	526	4633
102	530	4616
103	533	4599
104	537	4582
105	541	4566
106	544	4547
107	548	4527
108	551	4509
109	554	4489
110	558	4476
111	562	4461
112	566	4444
113	570	4432
114	573	4413
115	577	4397
116	580	4382
117	583	4364
118	587	4350
119	591	4337
120	595	4324
121	598	4310
122	602	4294
123	605	4279
124	609	4265
125	612	4250
126	616	4236
127	620	4224
128	622	4200
129	626	4191
130	630	4182
131	634	4170
132	638	4164
133	642	4154
134	646	4145
135	650	4135
136	655	4131
137	659	4122
138	662	4102
139	666	4096
140	670	4086
141	674	4075
142	678	4067
143	682	4058
144	686	4048
145	690	4038
146	694	4029
147	697	4017
148	702	4012
149	707	4006
150	710	3997
151	714	3988
152	718	3979
153	722	3969
154	726	3960
155	730	3950
156	733	3940
157	737	3930
158	741	3919
159	745	3911
160	749	3903
161	752	3894
162	756	3886
163	760	3876
164	764	3867
165	767	3856
166	770	3844
167	774	3836
168	778	3826
169	781	3817
170	785	3809
171	789	3800
172	793	3792
173	796	3781
174	800	3773
175	804	3766
176	808	3757
177	812	3750
178	815	3740
179	819	3731
180	823	3725
181	827	3717
182	831	3710
183	834	3702
184	838	3693
185	842	3687
186	845	3677
187	849	3669
188	853	3661
189	856	3653
190	860	3646
191	864	3637
192	867	3628
193	871	3621
194	875	3612
195	878	3604
196	882	3597
197	886	3589
198	889	3581
199	893	3574
200	897	3566
201	901	3560
202	904	3552
203	908	3545
204	912	3537
205	915	3529
206	919	3522
207	923	3514
208	926	3507
209	930	3501
210	934	3494
211	938	3487
212	941	3479
213	946	3474
214	949	3467
215	953	3460
216	956	3452
217	960	3445
218	963	3437
219	967	3431
220	971	3423
221	974	3414
222	978	3409
223	981	3401
224	985	3394
225	989	3388
226	993	3382
227	997	3377
228	1000	3369
229	1004	3363
230	1008	3356
231	1011	3349
232	1015	3343
233	1019	3337
234	1023	3331
235	1027	3324
236	1030	3316
237	1033	3309
238	1037	3303
239	1040	3296
240	1044	3289
241	1048	3283
242	1051	3276
243	1055	3270
244	1058	3263
245	1062	3255
246	1066	3250
247	1069	3244
248	1073	3236
249	1077	3231
250	1080	3225
251	1084	3218
252	1087	3211
253	1091	3205
254	1095	3199
255	1099	3194
256	1102	3188
257	1106	3183
258	1110	3176
259	1114	3171
260	1117	3165
261	1121	3158
262	1125	3154
263	1129	3147
264	1132	3141
265	1136	3135
266	1139	3128
267	1143	3122
268	1146	3116
269	1149	3109
270	1153	3103
271	1157	3097
272	1160	3091
273	1164	3086
274	1168	3080
275	1171	3074
276	1175	3068
277	1178	3061
278	1182	3055
279	1186	3050
280	1189	3044
281	1194	3040
282	1198	3035
283	1202	3030
284	1205	3024
285	1208	3017
286	1212	3011
287	1215	3005
288	1219	2999
289	1223	2995
290	1227	2990
291	1231	2986
292	1236	2983
293	1242	2983
294	1246	2979
295	1250	2975
296	1254	2969
297	1258	2963
298	1262	2959
299	1265	2953
300	1269	2948
301	1273	2942
302	1276	2937
303	1281	2932
304	1284	2927
305	1288	2922
306	1293	2918
307	1296	2913
308	1301	2909
309	1304	2903
310	1309	2900
311	1313	2895
312	1316	2890
313	1321	2886
314	1325	2881
315	1329	2877
316	1333	2873
317	1337	2868
318	1341	2863
319	1345	2859
320	1349	2855
321	1354	2851
322	1358	2847
323	1362	2842
324	1366	2838
325	1371	2834
326	1374	2829
327	1378	2824
328	1382	2818
329	1386	2814
330	1389	2809
331	1393	2804
332	1397	2799
333	1401	2794
334	1405	2789
335	1409	2784
336	1412	2779
337	1416	2774
338	1420	2769
339	1424	2764
340	1428	2759
341	1431	2754
342	1435	2749
343	1439	2744
344	1443	2739
345	1447	2735
346	1450	2730
347	1454	2726
348	1458	2720
349	1462	2715
350	1466	2711
351	1469	2705
352	1473	2700
353	1477	2695
354	1480	2690
355	1484	2685
356	1488	2680
357	1492	2675
358	1495	2671
359	1500	2666
360	1503	2661
361	1507	2656
362	1511	2652
363	1515	2647
364	1518	2642
365	1522	2637
366	1526	2632
367	1530	2627
368	1534	2623
369	1537	2618
370	1541	2613
371	1545	2608
372	1548	2603
373	1552	2598
374	1556	2593
375	1559	2588
376	1563	2584
377	1567	2579
378	1571	2574
379	1575	2569
380	1578	2564
381	1582	2559
382	1585	2554
383	1589	2549
384	1593	2545
385	1596	2539
386	1600	2534
387	1604	2530
388	1607	2525
389	1611	2520
390	1615	2516
391	1619	2511
392	1623	2506
393	1626	2502
394	1630	2497
395	1634	2492
396	1638	2488
397	1642	2483
398	1645	2478
399	1649	2473
400	1652	2468
401	1656	2464
402	1660	2459
403	1664	2455
404	1667	2450
405	1671	2445
406	1675	2440
407	1678	2435
408	1682	2430
409	1685	2425
410	1689	2421
411	1692	2415
412	1695	2410
413	1699	2405
414	1703	2401
415	1706	2396
416	1710	2391
417	1714	2387
418	1718	2382
419	1722	2378
420	1725	2373
421	1729	2368
422	1733	2364
423	1736	2359
424	1740	2354
425	1743	2349
426	1748	2345
427	1751	2341
428	1755	2337
429	1760	2333
430	1764	2329
431	1768	2325
432	1772	2320
433	1776	2316
434	1780	2312
435	1784	2307
436	1788	2304
437	1792	2299
438	1796	2295
439	1800	2291
440	1804	2287
441	1809	2283
442	1812	2279
443	1817	2276
444	1821	2271
445	1826	2268
446	1829	2263
447	1833	2259
448	1837	2255
449	1840	2249
450	1845	2246
451	1849	2241
452	1852	2237
453	1857	2233
454	1860	2228
455	1864	2224
456	1868	2220
457	1872	2216
458	1877	2212
459	1880	2207
460	1885	2204
461	1888	2199
462	1892	2195
463	1897	2191
464	1900	2186
465	1904	2182
466	1908	2178
467	1912	2174
468	1916	2170
469	1920	2165
470	1924	2161
471	1928	2157
472	1932	2153
473	1935	2148
474	1939	2144
475	1943	2139
476	1947	2135
477	1951	2130
478	1955	2126
479	1959	2122
480	1963	2118
481	1967	2113
482	1970	2109
483	1974	2104
484	1977	2100
485	1981	2095
486	1985	2091
487	1989	2086
488	1992	2082
489	1996	2077
490	2000	2073
491	2004	2069
492	2007	2064
493	2011	2060
494	2015	2056
495	2019	2051
496	2023	2047
497	2026	2043
498	2030	2038
499	2034	2034
500	2038	2030
501	2042	2026
502	2046	2021
503	2050	2017
504	2053	2012
505	2057	2008
506	2061	2004
507	2064	1999
508	2069	1995
509	2072	1991
510	2076	1987
511	2080	1982
512	2083	1978
513	2087	1973
514	2090	1969
515	2094	1964
516	2098	1960
517	2101	1955
518	2105	1951
519	2109	1947
520	2112	1942
521	2116	1938
522	2120	1933
523	2123	1929
524	2127	1925
525	2131	1920
526	2135	1916
527	2138	1911
528	2142	1907
529	2146	1903
530	2149	1898
531	2153	1894
532	2157	1890
533	2160	1885
534	2163	1880
535	2167	1876
536	2171	1872
537	2175	1867
538	2178	1863
539	2181	1858
540	2185	1854
541	2189	1850
542	2192	1845
543	2196	1841
544	2200	1836
545	2204	1832
546	2207	1828
547	2210	1823
548	2214	1819
549	2218	1815
550	2222	1810
551	2226	1806
552	2229	1802
553	2233	1797
554	2237	1793
555	2240	1789
556	2244	1785
557	2247	1780
558	2251	1776
559	2255	1772
560	2259	1767
561	2262	1763
562	2266	1759
563	2270	1755
564	2273	1750
565	2277	1746
566	2281	1742
567	2285	1738
568	2288	1733
569	2292	1729
570	2296	1725
571	2299	1720
572	2303	1716
573	2306	1711
574	2310	1707
575	2314	1703
576	2317	1699
577	2321	1695
578	2325	1691
579	2329	1686
580	2332	1682
581	2336	1678
582	2340	1674
583	2344	1669
584	2347	1665
585	2352	1661
586	2355	1657
587	2359	1653
588	2363	1649
589	2367	1644
590	2371	1640
591	2374	1636
592	2378	1632
593	2382	1628
594	2385	1623
595	2389	1619
596	2393	1615
597	2397	1611
598	2400	1607
599	2404	1603
600	2408	1599
601	2412	1595
602	2415	1590
603	2419	1586
604	2423	1582
605	2427	1577
606	2431	1573
607	2440	1573
608	2445	1570
609	2452	1568
610	2458	1565
611	2462	1561
612	2466	1556
613	2470	1553
614	2475	1549
615	2479	1545
616	2483	1541
617	2486	1537
618	2490	1532
619	2493	1528
620	2498	1524
621	2502	1520
622	2506	1516
623	2509	1512
624	2513	1508
625	2517	1504
626	2521	1499
627	2526	1496
628	2530	1492
629	2533	1488
630	2537	1483
631	2540	1479
632	2544	1475
633	2548	1471
634	2551	1466
635	2556	1462
636	2559	1458
637	2563	1454
638	2566	1450
639	2570	1445
640	2574	1441
641	2577	1437
642	2581	1433
643	2584	1428
644	2588	1424
645	2592	1420
646	2596	1416
647	2599	1411
648	2603	1407
649	2606	1403
650	2610	1399
651	2614	1395
652	2618	1391
653	2621	1387
654	2625	1382
655	2629	1378
656	2633	1374
657	2637	1370
658	2641	1366
659	2644	1362
660	2648	1358
661	2652	1354
662	2655	1350
663	2659	1345
664	2663	1342
665	2667	1337
666	2671	1333
667	2675	1329
668	2679	1325
669	2683	1321
670	2687	1317
671	2691	1313
672	2694	1309
673	2698	1305
674	2702	1301
675	2706	1297
676	2710	1293
677	2714	1289
678	2717	1284
679	2721	1280
680	2725	1276
681	2728	1272
682	2732	1268
683	2736	1264
684	2740	1260
685	2744	1256
686	2747	1251
687	2751	1247
688	2755	1243
689	2759	1239
690	2763	1235
691	2767	1231
692	2771	1227
693	2774	1223
694	2778	1219
695	2781	1215
696	2785	1210
697	2789	1206
698	2792	1202
699	2796	1198
700	2799	1194
701	2803	1190
702	2807	1186
703	2811	1181
704	2814	1177
705	2818	1173
706	2822	1169
707	2826	1165
708	2829	1161
709	2833	1157
710	2837	1153
711	2841	1149
712	2845	1145
713	2849	1141
714	2852	1137
715	2856	1133
716	2860	1128
717	2863	1124
718	2867	1120
719	2871	1116
720	2874	1112
721	2878	1108
722	2881	1104
723	2885	1100
724	2889	1096
725	2893	1091
726	2897	1087
727	2900	1083
728	2904	1079
729	2908	1075
730	2912	1071
731	2916	1067
732	2920	1063
733	2923	1059
734	2927	1055
735	2931	1051
736	2934	1047
737	2938	1043
738	2941	1038
739	2946	1035
740	2950	1031
741	2953	1027
742	2957	1023
743	2961	1018
744	2965	1014
745	2968	1010
746	2973	1006
747	2977	1003
748	2980	998
749	2985	995
750	2988	990
751	2992	986
752	2995	982
753	2999	978
754	3003	974
755	3007	970
756	3010	966
757	3014	962
758	3018	958
759	3022	954
760	3025	950
761	3029	946
762	3033	942
763	3037	938
764	3041	934
765	3044	930
766	3048	925
767	3052	921
768	3055	917
769	3059	913
770	3063	909
771	3066	905
772	3070	901
773	3074	897
774	3077	893
775	3081	889
776	3085	885
777	3088	881
778	3092	877
779	3096	873
780	3099	869
781	3103	865
782	3106	860
783	3109	856
784	3113	852
785	3117	848
786	3121	844
787	3125	840
788	3128	836
789	3132	832
790	3136	828
791	3139	824
792	3143	820
793	3147	816
794	3151	812
795	3154	808
796	3158	804
797	3162	800
798	3165	796
799	3169	792
800	3173	788
801	3176	784
802	3180	780
803	3183	776
804	3187	772
805	3191	768
806	3194	764
807	3198	760
808	3202	756
809	3206	752
810	3209	748
811	3213	743
812	3217	740
813	3220	735
814	3224	731
815	3228	727
816	3231	723
817	3235	719
818	3239	715
819	3242	711
820	3246	707
821	3250	703
822	3254	699
823	3257	695
824	3261	691
825	3265	687
826	3269	683
827	3272	679
828	3276	675
829	3279	671
830	3283	667
831	3287	663
832	3290	659
833	3294	655
834	3298	651
835	3302	647
836	3305	643
837	3309	639
838	3312	635
839	3316	631
840	3320	627
841	3323	623
842	3327	619
843	3331	615
844	3334	611
845	3338	607
846	3341	603
847	3345	599
848	3349	595
849	3352	591
850	3356	587
851	3360	583
852	3364	579
853	3368	575
854	3371	571
855	3375	567
856	3378	563
857	3382	559
858	3386	555
859	3390	551
860	3394	547
861	3397	543
862	3401	539
863	3405	536
864	3409	532
865	3413	528
866	3417	524
867	3421	520
868	3426	516
869	3429	512
870	3433	508
871	3437	504
872	3440	500
873	3444	496
874	3448	492
875	3451	488
876	3455	484
877	3459	480
878	3462	476
879	3466	472
880	3470	468
881	3474	464
882	3477	460
883	3481	456
884	3485	452
885	3488	448
886	3492	444
887	3496	440
888	3499	436
889	3503	432
890	3506	428
891	3510	424
892	3513	421
893	3517	417
894	3521	413
895	3525	409
896	3529	405
897	3533	401
898	3536	397
899	3540	393
900	3544	389
901	3548	385
902	3552	381
903	3555	377
904	3559	373
905	3563	369
906	3566	365
907	3570	361
908	3574	357
909	3577	353
910	3581	349
911	3584	345
912	3588	341
913	3591	337
914	3595	333
915	3599	330
916	3602	326
917	3606	322
918	3610	318
919	3614	314
920	3617	310
921	3621	306
922	3624	302
923	3628	298
924	3632	294
925	3636	290
926	3639	286
927	3642	282
928	3646	278
929	3649	274
930	3653	270
931	3657	266
932	3660	262
933	3664	258
934	3668	255
935	3672	251
936	3675	247
937	3679	243
938	3683	239
939	3687	235
940	3690	231
941	3694	227
942	3697	223
943	3701	219
944	3704	215
945	3708	211
946	3711	207
947	3715	203
948	3719	199
949	3722	195
950	3726	192
951	3730	188
952	3733	184
953	3737	180
954	3740	176
955	3744	172
956	3748	168
957	3751	164
958	3755	160
959	3759	156
960	3763	152
961	3766	148
962	3770	144
963	3773	140
964	3777	136
965	3780	133
966	3784	129
967	3787	125
968	3791	121
969	3794	117
970	3798	113
971	3802	109
972	3805	105
973	3809	101
974	3813	97
975	3817	93
976	3820	89
977	3824	86
978	3828	82
979	3832	78
980	3836	74
981	3839	70
982	3843	66
983	3847	62
984	3851	58
985	3855	54
986	3859	50
987	3862	46
988	3866	43
989	3870	39
990	3874	35
991	3878	31
992	3881	27
993	3885	23
994	3889	19
995	3892	15
996	3896	11
997	3900	7
998	3903	3
999	3907	0
