work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_category_range,salary_level
2025,SE,FT,Data Scientist,145400,USD,145400,US,0,US,M,140000-185500,High
2025,SE,FT,Data Scientist,81600,USD,81600,US,0,US,M,15000-100000,Low
2025,SE,FT,AI Product,175000,USD,175000,US,100,US,M,140000-185500,High
2025,SE,FT,AI Product,152900,USD,152900,US,100,US,M,140000-185500,High
2025,SE,FT,AI Engineer,97900,USD,97900,US,100,US,M,15000-100000,Low
2025,SE,FT,AI Engineer,89900,USD,89900,US,100,US,M,15000-100000,Low
2025,MI,FT,AI Engineer,200000,USD,200000,US,0,US,M,185500-800000,Very High
2025,MI,FT,AI Engineer,145000,USD,145000,US,0,US,M,140000-185500,High
2025,MI,FT,AI Engineer,265000,USD,265000,US,100,US,M,185500-800000,Very High
2025,MI,FT,AI Engineer,175000,USD,175000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,106200,USD,106200,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,195300,USD,195300,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,149000,USD,149000,US,0,US,M,140000-185500,High
2025,MI,FT,Data Engineer,183300,USD,183300,US,100,US,M,140000-185500,High
2025,MI,FT,Data Engineer,117000,USD,117000,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,213850,USD,213850,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,136800,USD,136800,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,146550,USD,146550,US,0,US,M,140000-185500,High
2025,SE,FT,Data Engineer,101200,USD,101200,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Engineer,200700,USD,200700,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,175800,USD,175800,US,0,US,M,140000-185500,High
2025,EX,FT,Data Engineer,275000,USD,275000,US,0,US,M,185500-800000,Very High
2025,EX,FT,Data Engineer,195000,USD,195000,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M,140000-185500,High
2025,SE,FT,Data Engineer,93000,USD,93000,US,100,US,M,15000-100000,Low
2025,SE,FT,ML Engineer,223000,USD,223000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,191000,USD,191000,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,210000,USD,210000,US,100,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,106200,USD,106200,US,100,US,M,100000-140000,Medium
2025,MI,FT,ML Engineer,150250,USD,150250,US,0,US,M,140000-185500,High
2025,MI,FT,ML Engineer,120000,USD,120000,US,0,US,M,100000-140000,Medium
2025,MI,FT,ML Engineer,175000,USD,175000,US,100,US,M,140000-185500,High
2025,MI,FT,ML Engineer,130000,USD,130000,US,100,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,331200,USD,331200,US,0,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,163000,USD,163000,US,0,US,M,140000-185500,High
2025,SE,FT,ML Engineer,240000,USD,240000,US,100,US,M,185500-800000,Very High
2025,SE,FT,ML Engineer,200000,USD,200000,US,100,US,M,185500-800000,Very High
2025,MI,FT,ML Engineer,140000,USD,140000,US,100,US,M,100000-140000,Medium
2025,MI,FT,ML Engineer,117000,USD,117000,US,100,US,M,100000-140000,Medium
2025,SE,FT,ML Engineer,153738,USD,153738,US,0,US,M,140000-185500,High
2025,SE,FT,ML Engineer,107617,USD,107617,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,235400,USD,235400,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,213146,USD,213146,US,0,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,166000,USD,166000,CA,100,CA,M,140000-185500,High
2025,SE,FT,Data Scientist,103000,USD,103000,CA,100,CA,M,100000-140000,Medium
2025,SE,FT,Data Scientist,217000,USD,217000,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,127000,USD,127000,US,100,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,335720,USD,335720,US,100,US,M,185500-800000,Very High
2025,SE,FT,Data Scientist,163064,USD,163064,US,100,US,M,140000-185500,High
2025,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,85000,USD,85000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Scientist,75000,USD,75000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Scientist,65250,USD,65250,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Scientist,142000,USD,142000,US,0,US,M,140000-185500,High
2025,MI,FT,Data Scientist,99336,USD,99336,US,0,US,M,15000-100000,Low
2025,SE,FT,Data Scientist,115350,USD,115350,US,0,US,M,100000-140000,Medium
2025,SE,FT,Data Scientist,88300,USD,88300,US,0,US,M,15000-100000,Low
2025,MI,FT,Data Scientist,166700,USD,166700,US,0,US,M,140000-185500,High
2025,MI,FT,Data Scientist,101100,USD,101100,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,136800,USD,136800,US,0,US,M,100000-140000,Medium
2025,MI,FT,Data Analyst,79500,USD,79500,US,0,US,M,15000-100000,Low
2025,SE,FT,AI Engineer,239000,USD,239000,US,0,US,M,185500-800000,Very High
2025,SE,FT,AI Engineer,196000,USD,196000,US,0,US,M,185500-800000,Very High
